mmu-miR v.21,Normalized expression in Brain
mmu-miR-467e-5p,64.52
mmu-miR-470-3p,0
mmu-miR-470-5p,0.03
mmu-miR-471-3p,0
mmu-miR-471-5p,0
mmu-miR-483-5p ,22.45
mmu-miR-485-3p,202.38
mmu-miR-485-5p,651.8
mmu-miR-486a-5p,1369.16
mmu-miR-487b-3p,5231.98
mmu-miR-488-3p ,305.41
mmu-miR-489-3p,19.22
mmu-miR-490-3p,206.54
mmu-miR-490-5p,107.09
mmu-miR-491-5p,139.01
mmu-miR-493-3p,10.62
mmu-miR-493-5p,99.73
mmu-miR-494-3p,74.31
mmu-miR-495-3p,458.34
mmu-miR-496a-3p,500.74
mmu-miR-497a-5p,3245.99
mmu-miR-499-5p,257.49
mmu-miR-500-3p,1432.18
mmu-miR-501-3p,383.15
mmu-miR-501-5p,212.28
mmu-miR-503-5p,106.45
mmu-miR-504-5p,27.08
mmu-miR-505-3p,15.66
mmu-miR-505-5p,30.61
mmu-miR-511-5p,17.67
mmu-miR-532-3p,320.63
mmu-miR-532-5p,515.33
mmu-miR-539-3p,23.44
mmu-miR-539-5p,36.43
mmu-miR-540-3p,314.22
mmu-miR-541-5p,12670.33
mmu-miR-542-3p ,86.34
mmu-miR-543-3p,378.35
mmu-miR-544-3p,964.17
mmu-miR-547-3p,0.37
mmu-miR-551b-3p,5410.31
mmu-miR-582-3p ,1114.02
mmu-miR-592-5p,854.12
mmu-miR-598-3p,4142.12
mmu-miR-615-3p,5.44
mmu-miR-652-3p,1156.42
mmu-miR-653-5p,37.71
mmu-miR-664-3p,244.23
mmu-miR-664-5p,18.71
mmu-miR-665-3p,686.15
mmu-miR-666-3p,121.92
mmu-miR-666-5p,358.6
mmu-miR-667-3p,1411.01
mmu-miR-668-3p,887.03
mmu-miR-669a-3p ,4.69
mmu-miR-669a-3p ,115.99
mmu-miR-669a-5p,43.38
mmu-miR-669b-5p,11.16
mmu-miR-669c-5p,32.6
mmu-miR-669d-5p,6.25
mmu-miR-669e-5p,3.8
mmu-miR-669f-3p,15.24
mmu-miR-669f-5p,2.39
mmu-miR-669h-5p ,3.25
mmu-miR-669k-3p,0.67
mmu-miR-669l-5p,13.42
mmu-miR-669o-5p,5.02
mmu-miR-670-3p,36.91
mmu-miR-670-5p,20.14
mmu-miR-671-5p,229.85
mmu-miR-672-5p,112.77
mmu-miR-673-5p,5.04
mmu-miR-674-3p,1188.47
mmu-miR-674-5p,240.64
mmu-miR-675-3p,0.9
mmu-miR-675-5p,0
mmu-miR-676-3p,242.06
mmu-miR-676-5p,42.37
mmu-miR-679-3p,0.7
mmu-miR-679-5p,0.86
